Loop Run Count,Model,Device,Load Time,Transform Time,Predict Time,Image Name,Resolution,Inference Time,Accuracy,Argmax Class,TopK Class
10,mobilenetv3,cpu,2024-11-12 01:39:06.465447+00:00,2024-11-12 01:39:06.467942+00:00,2024-11-12 01:39:06.474678+00:00,cat_1.jpg,441x350,0.9929,53.589,"tabby, tabby cat","tabby, tabby cat"
10,mobilenetv3,cpu,2024-11-12 01:39:07.460193+00:00,2024-11-12 01:39:07.465579+00:00,2024-11-12 01:39:07.471765+00:00,cat_2.jpg,356x500,0.8391,99.132,Persian cat,Persian cat
10,mobilenetv3,cpu,2024-11-12 01:39:08.301130+00:00,2024-11-12 01:39:08.305706+00:00,2024-11-12 01:39:08.315292+00:00,dog_0.jpg,375x500,1.0168,69.595,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute"
10,mobilenetv3,cpu,2024-11-12 01:39:09.319693+00:00,2024-11-12 01:39:09.324422+00:00,2024-11-12 01:39:09.333711+00:00,dog_1.jpg,375x500,0.8863,81.686,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog"
11,mobilenetv3,cpu,2024-11-12 01:39:10.208042+00:00,2024-11-12 01:39:10.210427+00:00,2024-11-12 01:39:10.220027+00:00,1.jpg,499x381,1.0814,40.332,Italian greyhound,Italian greyhound
11,mobilenetv3,cpu,2024-11-12 01:39:11.291279+00:00,2024-11-12 01:39:11.298849+00:00,2024-11-12 01:39:11.308683+00:00,cat_0.jpg,640x481,0.9793,14.485,water jug,water jug
11,mobilenetv3,cpu,2024-11-12 01:39:12.272398+00:00,2024-11-12 01:39:12.274883+00:00,2024-11-12 01:39:12.281799+00:00,cat_1.jpg,441x350,1.0976,53.589,"tabby, tabby cat","tabby, tabby cat"
11,mobilenetv3,cpu,2024-11-12 01:39:13.371833+00:00,2024-11-12 01:39:13.377184+00:00,2024-11-12 01:39:13.384451+00:00,cat_2.jpg,356x500,0.8819,99.132,Persian cat,Persian cat
11,mobilenetv3,cpu,2024-11-12 01:39:14.255700+00:00,2024-11-12 01:39:14.260285+00:00,2024-11-12 01:39:14.277619+00:00,dog_0.jpg,375x500,1.1395,69.595,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute"
11,mobilenetv3,cpu,2024-11-12 01:39:15.396948+00:00,2024-11-12 01:39:15.401676+00:00,2024-11-12 01:39:15.411332+00:00,dog_1.jpg,375x500,1.0206,81.686,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog"
12,mobilenetv3,cpu,2024-11-12 01:39:16.419581+00:00,2024-11-12 01:39:16.422012+00:00,2024-11-12 01:39:16.428277+00:00,1.jpg,499x381,0.8501,40.332,Italian greyhound,Italian greyhound
12,mobilenetv3,cpu,2024-11-12 01:39:17.271574+00:00,2024-11-12 01:39:17.279183+00:00,2024-11-12 01:39:17.286442+00:00,cat_0.jpg,640x481,0.988,14.485,water jug,water jug
12,mobilenetv3,cpu,2024-11-12 01:39:18.261372+00:00,2024-11-12 01:39:18.263909+00:00,2024-11-12 01:39:18.275900+00:00,cat_1.jpg,441x350,1.1705,53.589,"tabby, tabby cat","tabby, tabby cat"
12,mobilenetv3,cpu,2024-11-12 01:39:19.435490+00:00,2024-11-12 01:39:19.440870+00:00,2024-11-12 01:39:19.447921+00:00,cat_2.jpg,356x500,0.929,99.132,Persian cat,Persian cat
12,mobilenetv3,cpu,2024-11-12 01:39:20.366327+00:00,2024-11-12 01:39:20.370989+00:00,2024-11-12 01:39:20.380591+00:00,dog_0.jpg,375x500,1.0539,69.595,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute"
12,mobilenetv3,cpu,2024-11-12 01:39:21.422074+00:00,2024-11-12 01:39:21.426817+00:00,2024-11-12 01:39:21.436867+00:00,dog_1.jpg,375x500,0.9834,81.686,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog"
13,mobilenetv3,cpu,2024-11-12 01:39:22.407485+00:00,2024-11-12 01:39:22.409869+00:00,2024-11-12 01:39:22.421131+00:00,1.jpg,499x381,0.9096,40.332,Italian greyhound,Italian greyhound
13,mobilenetv3,cpu,2024-11-12 01:39:23.318846+00:00,2024-11-12 01:39:23.326349+00:00,2024-11-12 01:39:23.339506+00:00,cat_0.jpg,640x481,1.0646,14.485,water jug,water jug
13,mobilenetv3,cpu,2024-11-12 01:39:24.385782+00:00,2024-11-12 01:39:24.388299+00:00,2024-11-12 01:39:24.396888+00:00,cat_1.jpg,441x350,0.9366,53.589,"tabby, tabby cat","tabby, tabby cat"
13,mobilenetv3,cpu,2024-11-12 01:39:25.324305+00:00,2024-11-12 01:39:25.329648+00:00,2024-11-12 01:39:25.339086+00:00,cat_2.jpg,356x500,1.0335,99.132,Persian cat,Persian cat
13,mobilenetv3,cpu,2024-11-12 01:39:26.359640+00:00,2024-11-12 01:39:26.364227+00:00,2024-11-12 01:39:26.371304+00:00,dog_0.jpg,375x500,0.9731,69.595,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute"
13,mobilenetv3,cpu,2024-11-12 01:39:27.334485+00:00,2024-11-12 01:39:27.339217+00:00,2024-11-12 01:39:27.346647+00:00,dog_1.jpg,375x500,0.8513,81.686,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog"
14,mobilenetv3,cpu,2024-11-12 01:39:28.188042+00:00,2024-11-12 01:39:28.190420+00:00,2024-11-12 01:39:28.204374+00:00,1.jpg,499x381,0.9401,40.332,Italian greyhound,Italian greyhound
14,mobilenetv3,cpu,2024-11-12 01:39:29.129926+00:00,2024-11-12 01:39:29.137432+00:00,2024-11-12 01:39:29.148757+00:00,cat_0.jpg,640x481,1.0401,14.485,water jug,water jug
14,mobilenetv3,cpu,2024-11-12 01:39:30.171857+00:00,2024-11-12 01:39:30.174320+00:00,2024-11-12 01:39:30.181262+00:00,cat_1.jpg,441x350,0.9474,53.589,"tabby, tabby cat","tabby, tabby cat"
14,mobilenetv3,cpu,2024-11-12 01:39:31.121188+00:00,2024-11-12 01:39:31.126557+00:00,2024-11-12 01:39:31.137201+00:00,cat_2.jpg,356x500,0.8654,99.132,Persian cat,Persian cat
14,mobilenetv3,cpu,2024-11-12 01:39:31.988448+00:00,2024-11-12 01:39:31.993024+00:00,2024-11-12 01:39:32.002254+00:00,dog_0.jpg,375x500,0.85,69.595,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute"
14,mobilenetv3,cpu,2024-11-12 01:39:32.840182+00:00,2024-11-12 01:39:32.844890+00:00,2024-11-12 01:39:32.853592+00:00,dog_1.jpg,375x500,1.1596,81.686,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog"
15,mobilenetv3,cpu,2024-11-12 01:39:34.001861+00:00,2024-11-12 01:39:34.004355+00:00,2024-11-12 01:39:34.018486+00:00,1.jpg,499x381,1.0862,40.332,Italian greyhound,Italian greyhound
15,mobilenetv3,cpu,2024-11-12 01:39:35.089958+00:00,2024-11-12 01:39:35.097568+00:00,2024-11-12 01:39:35.108716+00:00,cat_0.jpg,640x481,1.0096,14.485,water jug,water jug
15,mobilenetv3,cpu,2024-11-12 01:39:36.101314+00:00,2024-11-12 01:39:36.103820+00:00,2024-11-12 01:39:36.113660+00:00,cat_1.jpg,441x350,0.9101,53.589,"tabby, tabby cat","tabby, tabby cat"
15,mobilenetv3,cpu,2024-11-12 01:39:37.013202+00:00,2024-11-12 01:39:37.018555+00:00,2024-11-12 01:39:37.034062+00:00,cat_2.jpg,356x500,1.113,99.132,Persian cat,Persian cat
15,mobilenetv3,cpu,2024-11-12 01:39:38.128151+00:00,2024-11-12 01:39:38.132786+00:00,2024-11-12 01:39:38.140068+00:00,dog_0.jpg,375x500,0.9074,69.595,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute"
15,mobilenetv3,cpu,2024-11-12 01:39:39.037371+00:00,2024-11-12 01:39:39.042126+00:00,2024-11-12 01:39:39.055687+00:00,dog_1.jpg,375x500,1.1496,81.686,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog"
16,mobilenetv3,cpu,2024-11-12 01:39:40.188968+00:00,2024-11-12 01:39:40.191395+00:00,2024-11-12 01:39:40.195689+00:00,1.jpg,499x381,0.7226,40.332,Italian greyhound,Italian greyhound
16,mobilenetv3,cpu,2024-11-12 01:39:40.913272+00:00,2024-11-12 01:39:40.920725+00:00,2024-11-12 01:39:40.925851+00:00,cat_0.jpg,640x481,0.6881,14.485,water jug,water jug
