Loop Run Count,Model,Device,Load Time,Transform Time,Predict Time,Image Name,Resolution,Inference Time,Accuracy,Argmax Class,TopK Class,FPS
13,resnet50,gpu,2024-11-14 23:27:02.128560+00:00,2024-11-14 23:27:02.133734+00:00,2024-11-14 23:27:02.138384+00:00,cat_2.jpg,356x500,0.0203,99.544,Persian cat,Persian cat,49.26108374
13,resnet50,gpu,2024-11-14 23:27:02.161836+00:00,2024-11-14 23:27:02.166269+00:00,2024-11-14 23:27:02.170798+00:00,dog_0.jpg,375x500,0.0201,95.687,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",49.75124378
13,resnet50,gpu,2024-11-14 23:27:02.194083+00:00,2024-11-14 23:27:02.198636+00:00,2024-11-14 23:27:02.203227+00:00,dog_1.jpg,375x500,0.0201,88.923,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",49.75124378
14,resnet50,gpu,2024-11-14 23:27:02.226896+00:00,2024-11-14 23:27:02.229129+00:00,2024-11-14 23:27:02.233705+00:00,1.jpg,499x381,0.0202,19.457,Border collie,Border collie,49.5049505
14,resnet50,gpu,2024-11-14 23:27:02.257269+00:00,2024-11-14 23:27:02.264463+00:00,2024-11-14 23:27:02.269850+00:00,cat_0.jpg,640x481,0.0204,18.875,"pop bottle, soda bottle","pop bottle, soda bottle",49.01960784
14,resnet50,gpu,2024-11-14 23:27:02.293420+00:00,2024-11-14 23:27:02.295729+00:00,2024-11-14 23:27:02.299931+00:00,cat_1.jpg,441x350,0.0201,64.68,"tabby, tabby cat","tabby, tabby cat",49.75124378
14,resnet50,gpu,2024-11-14 23:27:02.323204+00:00,2024-11-14 23:27:02.329136+00:00,2024-11-14 23:27:02.335926+00:00,cat_2.jpg,356x500,0.0205,99.544,Persian cat,Persian cat,48.7804878
14,resnet50,gpu,2024-11-14 23:27:02.359989+00:00,2024-11-14 23:27:02.364469+00:00,2024-11-14 23:27:02.368866+00:00,dog_0.jpg,375x500,0.0203,95.687,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",49.26108374
14,resnet50,gpu,2024-11-14 23:27:02.392269+00:00,2024-11-14 23:27:02.396860+00:00,2024-11-14 23:27:02.401484+00:00,dog_1.jpg,375x500,0.0201,88.923,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",49.75124378
15,resnet50,gpu,2024-11-14 23:27:02.424999+00:00,2024-11-14 23:27:02.427216+00:00,2024-11-14 23:27:02.431676+00:00,1.jpg,499x381,0.0201,19.457,Border collie,Border collie,49.75124378
15,resnet50,gpu,2024-11-14 23:27:02.454968+00:00,2024-11-14 23:27:02.462218+00:00,2024-11-14 23:27:02.467580+00:00,cat_0.jpg,640x481,0.0203,18.875,"pop bottle, soda bottle","pop bottle, soda bottle",49.26108374
15,resnet50,gpu,2024-11-14 23:27:02.491129+00:00,2024-11-14 23:27:02.493467+00:00,2024-11-14 23:27:02.497703+00:00,cat_1.jpg,441x350,0.0202,64.68,"tabby, tabby cat","tabby, tabby cat",49.5049505
15,resnet50,gpu,2024-11-14 23:27:02.521143+00:00,2024-11-14 23:27:02.526289+00:00,2024-11-14 23:27:02.530691+00:00,cat_2.jpg,356x500,0.0214,99.544,Persian cat,Persian cat,46.72897196
15,resnet50,gpu,2024-11-14 23:27:02.555776+00:00,2024-11-14 23:27:02.560218+00:00,2024-11-14 23:27:02.564531+00:00,dog_0.jpg,375x500,0.0203,95.687,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",49.26108374
15,resnet50,gpu,2024-11-14 23:27:02.588028+00:00,2024-11-14 23:27:02.592619+00:00,2024-11-14 23:27:02.597602+00:00,dog_1.jpg,375x500,0.0204,88.923,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",49.01960784
16,resnet50,gpu,2024-11-14 23:27:02.621372+00:00,2024-11-14 23:27:02.623598+00:00,2024-11-14 23:27:02.628041+00:00,1.jpg,499x381,0.0202,19.457,Border collie,Border collie,49.5049505
16,resnet50,gpu,2024-11-14 23:27:02.651384+00:00,2024-11-14 23:27:02.658619+00:00,2024-11-14 23:27:02.664899+00:00,cat_0.jpg,640x481,0.0203,18.875,"pop bottle, soda bottle","pop bottle, soda bottle",49.26108374
16,resnet50,gpu,2024-11-14 23:27:02.688447+00:00,2024-11-14 23:27:02.690773+00:00,2024-11-14 23:27:02.694999+00:00,cat_1.jpg,441x350,0.0202,64.68,"tabby, tabby cat","tabby, tabby cat",49.5049505
16,resnet50,gpu,2024-11-14 23:27:02.718361+00:00,2024-11-14 23:27:02.723531+00:00,2024-11-14 23:27:02.727819+00:00,cat_2.jpg,356x500,0.0202,99.544,Persian cat,Persian cat,49.5049505
16,resnet50,gpu,2024-11-14 23:27:02.751215+00:00,2024-11-14 23:27:02.756203+00:00,2024-11-14 23:27:02.761240+00:00,dog_0.jpg,375x500,0.0198,95.687,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",50.50505051
16,resnet50,gpu,2024-11-14 23:27:02.784755+00:00,2024-11-14 23:27:02.789342+00:00,2024-11-14 23:27:02.793639+00:00,dog_1.jpg,375x500,0.02,88.923,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",50
17,resnet50,gpu,2024-11-14 23:27:02.817022+00:00,2024-11-14 23:27:02.819255+00:00,2024-11-14 23:27:02.823548+00:00,1.jpg,499x381,0.0204,19.457,Border collie,Border collie,49.01960784
17,resnet50,gpu,2024-11-14 23:27:02.847361+00:00,2024-11-14 23:27:02.854848+00:00,2024-11-14 23:27:02.862720+00:00,cat_0.jpg,640x481,0.0212,18.875,"pop bottle, soda bottle","pop bottle, soda bottle",47.16981132
17,resnet50,gpu,2024-11-14 23:27:02.887091+00:00,2024-11-14 23:27:02.889558+00:00,2024-11-14 23:27:02.898106+00:00,cat_1.jpg,441x350,0.0201,64.68,"tabby, tabby cat","tabby, tabby cat",49.75124378
17,resnet50,gpu,2024-11-14 23:27:02.921471+00:00,2024-11-14 23:27:02.926719+00:00,2024-11-14 23:27:02.931294+00:00,cat_2.jpg,356x500,0.02,99.544,Persian cat,Persian cat,50
17,resnet50,gpu,2024-11-14 23:27:02.954499+00:00,2024-11-14 23:27:02.958958+00:00,2024-11-14 23:27:02.966967+00:00,dog_0.jpg,375x500,0.0204,95.687,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",49.01960784
17,resnet50,gpu,2024-11-14 23:27:02.990895+00:00,2024-11-14 23:27:02.995508+00:00,2024-11-14 23:27:03.000581+00:00,dog_1.jpg,375x500,0.0202,88.923,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",49.5049505
18,resnet50,gpu,2024-11-14 23:27:03.024176+00:00,2024-11-14 23:27:03.026424+00:00,2024-11-14 23:27:03.030906+00:00,1.jpg,499x381,0.0201,19.457,Border collie,Border collie,49.75124378
18,resnet50,gpu,2024-11-14 23:27:03.054182+00:00,2024-11-14 23:27:03.061437+00:00,2024-11-14 23:27:03.066814+00:00,cat_0.jpg,640x481,0.0203,18.875,"pop bottle, soda bottle","pop bottle, soda bottle",49.26108374
18,resnet50,gpu,2024-11-14 23:27:03.090311+00:00,2024-11-14 23:27:03.092678+00:00,2024-11-14 23:27:03.096872+00:00,cat_1.jpg,441x350,0.0202,64.68,"tabby, tabby cat","tabby, tabby cat",49.5049505
18,resnet50,gpu,2024-11-14 23:27:03.120202+00:00,2024-11-14 23:27:03.125387+00:00,2024-11-14 23:27:03.129813+00:00,cat_2.jpg,356x500,0.0202,99.544,Persian cat,Persian cat,49.5049505
18,resnet50,gpu,2024-11-14 23:27:03.153245+00:00,2024-11-14 23:27:03.157669+00:00,2024-11-14 23:27:03.163536+00:00,dog_0.jpg,375x500,0.0209,95.687,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",47.84688995
18,resnet50,gpu,2024-11-14 23:27:03.188190+00:00,2024-11-14 23:27:03.192827+00:00,2024-11-14 23:27:03.197887+00:00,dog_1.jpg,375x500,0.0199,88.923,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",50.25125628
19,resnet50,gpu,2024-11-14 23:27:03.221131+00:00,2024-11-14 23:27:03.223384+00:00,2024-11-14 23:27:03.227860+00:00,1.jpg,499x381,0.0199,19.457,Border collie,Border collie,50.25125628
19,resnet50,gpu,2024-11-14 23:27:03.250910+00:00,2024-11-14 23:27:03.258176+00:00,2024-11-14 23:27:03.263562+00:00,cat_0.jpg,640x481,0.0202,18.875,"pop bottle, soda bottle","pop bottle, soda bottle",49.5049505
19,resnet50,gpu,2024-11-14 23:27:03.286957+00:00,2024-11-14 23:27:03.289297+00:00,2024-11-14 23:27:03.293560+00:00,cat_1.jpg,441x350,0.0201,64.68,"tabby, tabby cat","tabby, tabby cat",49.75124378
19,resnet50,gpu,2024-11-14 23:27:03.316890+00:00,2024-11-14 23:27:03.322086+00:00,2024-11-14 23:27:03.326566+00:00,cat_2.jpg,356x500,0.0202,99.544,Persian cat,Persian cat,49.5049505
19,resnet50,gpu,2024-11-14 23:27:03.349973+00:00,2024-11-14 23:27:03.354415+00:00,2024-11-14 23:27:03.358940+00:00,dog_0.jpg,375x500,0.0201,95.687,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",49.75124378
19,resnet50,gpu,2024-11-14 23:27:03.382197+00:00,2024-11-14 23:27:03.386767+00:00,2024-11-14 23:27:03.392761+00:00,dog_1.jpg,375x500,0.02,88.923,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",50
