2025-02-18 11:10:02,435 - INFO - Time: 11:10:02 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 130.250, raspberry_pi: 53.760 | Reason: High queue length (112)
2025-02-18 11:10:02,622 - INFO - Time: 11:10:02 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 129.976, raspberry_pi: 53.760 | Reason: High queue length (112)
2025-02-18 11:10:02,713 - INFO - Time: 11:10:02 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 130.627, raspberry_pi: 53.760 | Reason: High queue length (112)
2025-02-18 11:10:02,916 - INFO - Time: 11:10:02 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 129.951, raspberry_pi: 53.760 | Reason: High queue length (112)
2025-02-18 11:10:03,116 - INFO - Time: 11:10:03 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 129.372, raspberry_pi: 53.760 | Reason: High queue length (112)
2025-02-18 11:10:03,256 - INFO - Time: 11:10:03 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 122.641, raspberry_pi: 53.760 | Reason: High queue length (118)
2025-02-18 11:10:03,365 - INFO - Time: 11:10:03 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 123.123, raspberry_pi: 53.760 | Reason: High queue length (118)
2025-02-18 11:10:03,504 - INFO - Time: 11:10:03 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 123.391, raspberry_pi: 53.760 | Reason: High queue length (118)
2025-02-18 11:10:03,596 - INFO - Time: 11:10:03 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 123.970, raspberry_pi: 53.760 | Reason: High queue length (118)
2025-02-18 11:10:03,734 - INFO - Time: 11:10:03 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 124.000, raspberry_pi: 53.760 | Reason: High queue length (118)
2025-02-18 11:10:03,842 - INFO - Time: 11:10:03 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 124.349, raspberry_pi: 53.760 | Reason: High queue length (118)
2025-02-18 11:10:03,950 - INFO - Time: 11:10:03 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 124.660, raspberry_pi: 53.760 | Reason: High queue length (118)
