Load Time,Transform Time,Predict Time,Image Name,Resolution,Inference Time,Accuracy,Argmax Class,TopK Class,Latency,Model
2024-11-01 18:40:35.075197+00:00,2024-11-01 18:40:35.086774+00:00,2024-11-01 18:40:35.112947+00:00,cat_0.jpg,640x481,0.4054,18.534,"tabby, tabby cat","tabby, tabby cat",0.0405,Resnet-18
2024-11-01 18:40:35.484628+00:00,2024-11-01 18:40:35.490978+00:00,2024-11-01 18:40:35.511235+00:00,cat_1.jpg,441x350,0.3723,64.716,"tabby, tabby cat","tabby, tabby cat",0.0372,Resnet-18
2024-11-01 18:40:35.861196+00:00,2024-11-01 18:40:35.869202+00:00,2024-11-01 18:40:35.889867+00:00,cat_2.jpg,356x500,0.3505,99.256,Persian cat,Persian cat,0.035,Resnet-18
2024-11-01 18:40:36.214306+00:00,2024-11-01 18:40:36.222405+00:00,2024-11-01 18:40:36.242515+00:00,dog_0.jpg,375x500,0.4141,89.873,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",0.0414,Resnet-18
2024-11-01 18:40:36.632750+00:00,2024-11-01 18:40:36.640040+00:00,2024-11-01 18:40:36.662288+00:00,dog_1.jpg,375x500,0.3635,63.549,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",0.0364,Resnet-18
2024-11-01 18:40:36.999454+00:00,2024-11-01 18:40:37.004823+00:00,2024-11-01 18:40:37.025215+00:00,1.jpg,499x381,0.3402,27.209,"Cardigan, Cardigan Welsh corgi","Cardigan, Cardigan Welsh corgi",0.034,Resnet-18
2024-11-01 18:40:37.343361+00:00,2024-11-01 18:40:37.355779+00:00,2024-11-01 18:40:37.389738+00:00,cat_0.jpg,640x481,0.4105,18.534,"tabby, tabby cat","tabby, tabby cat",0.041,Resnet-18
2024-11-01 18:40:37.758019+00:00,2024-11-01 18:40:37.762718+00:00,2024-11-01 18:40:37.783552+00:00,cat_1.jpg,441x350,0.3491,64.716,"tabby, tabby cat","tabby, tabby cat",0.0349,Resnet-18
2024-11-01 18:40:38.110549+00:00,2024-11-01 18:40:38.118582+00:00,2024-11-01 18:40:38.138034+00:00,cat_2.jpg,356x500,0.4286,99.256,Persian cat,Persian cat,0.0429,Resnet-18
2024-11-01 18:40:38.541795+00:00,2024-11-01 18:40:38.549741+00:00,2024-11-01 18:40:38.573688+00:00,dog_0.jpg,375x500,0.3536,89.873,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",0.0354,Resnet-18
2024-11-01 18:40:38.903020+00:00,2024-11-01 18:40:38.911127+00:00,2024-11-01 18:40:38.925189+00:00,dog_1.jpg,375x500,0.3449,63.549,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",0.0345,Resnet-18
2024-11-01 18:40:39.251918+00:00,2024-11-01 18:40:39.257312+00:00,2024-11-01 18:40:39.278974+00:00,1.jpg,499x381,0.4124,27.209,"Cardigan, Cardigan Welsh corgi","Cardigan, Cardigan Welsh corgi",0.0412,Resnet-18
2024-11-01 18:40:39.667789+00:00,2024-11-01 18:40:39.680040+00:00,2024-11-01 18:40:39.697259+00:00,cat_0.jpg,640x481,0.3509,18.534,"tabby, tabby cat","tabby, tabby cat",0.0351,Resnet-18
2024-11-01 18:40:40.022978+00:00,2024-11-01 18:40:40.027938+00:00,2024-11-01 18:40:40.049587+00:00,cat_1.jpg,441x350,0.3686,64.716,"tabby, tabby cat","tabby, tabby cat",0.0369,Resnet-18
2024-11-01 18:40:40.395446+00:00,2024-11-01 18:40:40.406161+00:00,2024-11-01 18:40:40.435954+00:00,cat_2.jpg,356x500,0.4018,99.256,Persian cat,Persian cat,0.0402,Resnet-18
2024-11-01 18:40:40.800654+00:00,2024-11-01 18:40:40.812431+00:00,2024-11-01 18:40:40.834926+00:00,dog_0.jpg,375x500,0.365,89.873,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",0.0365,Resnet-18
2024-11-01 18:40:41.169919+00:00,2024-11-01 18:40:41.177269+00:00,2024-11-01 18:40:41.196998+00:00,dog_1.jpg,375x500,0.4072,63.549,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",0.0407,Resnet-18
2024-11-01 18:40:41.587469+00:00,2024-11-01 18:40:41.592832+00:00,2024-11-01 18:40:41.614777+00:00,1.jpg,499x381,0.3488,27.209,"Cardigan, Cardigan Welsh corgi","Cardigan, Cardigan Welsh corgi",0.0349,Resnet-18
2024-11-01 18:40:41.941895+00:00,2024-11-01 18:40:41.954204+00:00,2024-11-01 18:40:41.973428+00:00,cat_0.jpg,640x481,0.3568,18.534,"tabby, tabby cat","tabby, tabby cat",0.0357,Resnet-18
2024-11-01 18:40:42.302953+00:00,2024-11-01 18:40:42.307662+00:00,2024-11-01 18:40:42.327405+00:00,cat_1.jpg,441x350,0.4088,64.716,"tabby, tabby cat","tabby, tabby cat",0.0409,Resnet-18
2024-11-01 18:40:42.715667+00:00,2024-11-01 18:40:42.723853+00:00,2024-11-01 18:40:42.741138+00:00,cat_2.jpg,356x500,0.3485,99.256,Persian cat,Persian cat,0.0348,Resnet-18
2024-11-01 18:40:43.067563+00:00,2024-11-01 18:40:43.074800+00:00,2024-11-01 18:40:43.096271+00:00,dog_0.jpg,375x500,0.3802,89.873,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",0.038,Resnet-18
2024-11-01 18:40:43.450410+00:00,2024-11-01 18:40:43.458895+00:00,2024-11-01 18:40:43.485441+00:00,dog_1.jpg,375x500,0.3606,63.549,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",0.0361,Resnet-18
2024-11-01 18:40:43.815205+00:00,2024-11-01 18:40:43.820592+00:00,2024-11-01 18:40:43.846032+00:00,1.jpg,499x381,0.3589,27.209,"Cardigan, Cardigan Welsh corgi","Cardigan, Cardigan Welsh corgi",0.0359,Resnet-18
2024-11-01 18:40:44.178371+00:00,2024-11-01 18:40:44.190077+00:00,2024-11-01 18:40:44.215849+00:00,cat_0.jpg,640x481,0.4502,18.534,"tabby, tabby cat","tabby, tabby cat",0.045,Resnet-18
2024-11-01 18:40:44.631957+00:00,2024-11-01 18:40:44.636671+00:00,2024-11-01 18:40:44.666392+00:00,cat_1.jpg,441x350,0.3488,64.716,"tabby, tabby cat","tabby, tabby cat",0.0349,Resnet-18
2024-11-01 18:40:44.983426+00:00,2024-11-01 18:40:44.992130+00:00,2024-11-01 18:40:45.008117+00:00,cat_2.jpg,356x500,0.3256,99.256,Persian cat,Persian cat,0.0326,Resnet-18
2024-11-01 18:40:45.313317+00:00,2024-11-01 18:40:45.320565+00:00,2024-11-01 18:40:45.340349+00:00,dog_0.jpg,375x500,0.4125,89.873,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",0.0413,Resnet-18
2024-11-01 18:40:45.729254+00:00,2024-11-01 18:40:45.736560+00:00,2024-11-01 18:40:45.762709+00:00,dog_1.jpg,375x500,0.3492,63.549,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",0.0349,Resnet-18
2024-11-01 18:40:46.081966+00:00,2024-11-01 18:40:46.087363+00:00,2024-11-01 18:40:46.108807+00:00,1.jpg,499x381,0.3828,27.209,"Cardigan, Cardigan Welsh corgi","Cardigan, Cardigan Welsh corgi",0.0383,Resnet-18
2024-11-01 18:40:46.469640+00:00,2024-11-01 18:40:46.482246+00:00,2024-11-01 18:40:46.521640+00:00,cat_0.jpg,640x481,0.3536,18.534,"tabby, tabby cat","tabby, tabby cat",0.0354,Resnet-18
2024-11-01 18:40:46.825628+00:00,2024-11-01 18:40:46.831045+00:00,2024-11-01 18:40:46.852740+00:00,cat_1.jpg,441x350,0.3273,64.716,"tabby, tabby cat","tabby, tabby cat",0.0327,Resnet-18
2024-11-01 18:40:47.160098+00:00,2024-11-01 18:40:47.168132+00:00,2024-11-01 18:40:47.187184+00:00,cat_2.jpg,356x500,0.4244,99.256,Persian cat,Persian cat,0.0424,Resnet-18
2024-11-01 18:40:47.588008+00:00,2024-11-01 18:40:47.595260+00:00,2024-11-01 18:40:47.618022+00:00,dog_0.jpg,375x500,0.3638,89.873,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",0.0364,Resnet-18
2024-11-01 18:40:47.954392+00:00,2024-11-01 18:40:47.962375+00:00,2024-11-01 18:40:47.978357+00:00,dog_1.jpg,375x500,0.3317,63.549,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",0.0332,Resnet-18
2024-11-01 18:40:48.293990+00:00,2024-11-01 18:40:48.299447+00:00,2024-11-01 18:40:48.318346+00:00,1.jpg,499x381,0.4184,27.209,"Cardigan, Cardigan Welsh corgi","Cardigan, Cardigan Welsh corgi",0.0418,Resnet-18
2024-11-01 18:40:48.716706+00:00,2024-11-01 18:40:48.732054+00:00,2024-11-01 18:40:48.754901+00:00,cat_0.jpg,640x481,0.3642,18.534,"tabby, tabby cat","tabby, tabby cat",0.0364,Resnet-18
2024-11-01 18:40:49.083556+00:00,2024-11-01 18:40:49.088941+00:00,2024-11-01 18:40:49.109850+00:00,cat_1.jpg,441x350,0.4076,64.716,"tabby, tabby cat","tabby, tabby cat",0.0408,Resnet-18
2024-11-01 18:40:49.494578+00:00,2024-11-01 18:40:49.503268+00:00,2024-11-01 18:40:49.519308+00:00,cat_2.jpg,356x500,0.3629,99.256,Persian cat,Persian cat,0.0363,Resnet-18
2024-11-01 18:40:49.860907+00:00,2024-11-01 18:40:49.868978+00:00,2024-11-01 18:40:49.888849+00:00,dog_0.jpg,375x500,0.3547,89.873,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",0.0355,Resnet-18
2024-11-01 18:40:50.219086+00:00,2024-11-01 18:40:50.227261+00:00,2024-11-01 18:40:50.249496+00:00,dog_1.jpg,375x500,0.4397,63.549,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",0.044,Resnet-18
2024-11-01 18:40:50.663682+00:00,2024-11-01 18:40:50.668358+00:00,2024-11-01 18:40:50.687738+00:00,1.jpg,499x381,0.3648,27.209,"Cardigan, Cardigan Welsh corgi","Cardigan, Cardigan Welsh corgi",0.0365,Resnet-18
2024-11-01 18:40:51.035822+00:00,2024-11-01 18:40:51.048084+00:00,2024-11-01 18:40:51.066752+00:00,cat_0.jpg,640x481,0.3785,18.534,"tabby, tabby cat","tabby, tabby cat",0.0379,Resnet-18
2024-11-01 18:40:51.420012+00:00,2024-11-01 18:40:51.426873+00:00,2024-11-01 18:40:51.447819+00:00,cat_1.jpg,441x350,0.3696,64.716,"tabby, tabby cat","tabby, tabby cat",0.037,Resnet-18
2024-11-01 18:40:51.792978+00:00,2024-11-01 18:40:51.801251+00:00,2024-11-01 18:40:51.821101+00:00,cat_2.jpg,356x500,0.3492,99.256,Persian cat,Persian cat,0.0349,Resnet-18
2024-11-01 18:40:52.144759+00:00,2024-11-01 18:40:52.152632+00:00,2024-11-01 18:40:52.173800+00:00,dog_0.jpg,375x500,0.4148,89.873,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",0.0415,Resnet-18
2024-11-01 18:40:52.563910+00:00,2024-11-01 18:40:52.571271+00:00,2024-11-01 18:40:52.593799+00:00,dog_1.jpg,375x500,0.3612,63.549,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",0.0361,Resnet-18
2024-11-01 18:40:52.929202+00:00,2024-11-01 18:40:52.933945+00:00,2024-11-01 18:40:52.951718+00:00,1.jpg,499x381,0.3364,27.209,"Cardigan, Cardigan Welsh corgi","Cardigan, Cardigan Welsh corgi",0.0336,Resnet-18
2024-11-01 18:40:53.269085+00:00,2024-11-01 18:40:53.280703+00:00,2024-11-01 18:40:53.302534+00:00,cat_0.jpg,640x481,0.4147,18.534,"tabby, tabby cat","tabby, tabby cat",0.0415,Resnet-18
2024-11-01 18:40:53.687303+00:00,2024-11-01 18:40:53.692035+00:00,2024-11-01 18:40:53.713637+00:00,cat_1.jpg,441x350,0.3629,64.716,"tabby, tabby cat","tabby, tabby cat",0.0363,Resnet-18
2024-11-01 18:40:54.053679+00:00,2024-11-01 18:40:54.061684+00:00,2024-11-01 18:40:54.083133+00:00,cat_2.jpg,356x500,0.3956,99.256,Persian cat,Persian cat,0.0396,Resnet-18
2024-11-01 18:40:54.453689+00:00,2024-11-01 18:40:54.460947+00:00,2024-11-01 18:40:54.482655+00:00,dog_0.jpg,375x500,0.3602,89.873,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",0.036,Resnet-18
2024-11-01 18:40:54.817120+00:00,2024-11-01 18:40:54.824479+00:00,2024-11-01 18:40:54.842059+00:00,dog_1.jpg,375x500,0.3355,63.549,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",0.0335,Resnet-18
2024-11-01 18:40:55.155854+00:00,2024-11-01 18:40:55.161475+00:00,2024-11-01 18:40:55.182294+00:00,1.jpg,499x381,0.3998,27.209,"Cardigan, Cardigan Welsh corgi","Cardigan, Cardigan Welsh corgi",0.04,Resnet-18
2024-11-01 18:40:55.559201+00:00,2024-11-01 18:40:55.571455+00:00,2024-11-01 18:40:55.595092+00:00,cat_0.jpg,640x481,0.3859,18.534,"tabby, tabby cat","tabby, tabby cat",0.0386,Resnet-18
2024-11-01 18:40:55.949381+00:00,2024-11-01 18:40:55.954073+00:00,2024-11-01 18:40:55.978701+00:00,cat_1.jpg,441x350,0.3579,64.716,"tabby, tabby cat","tabby, tabby cat",0.0358,Resnet-18
2024-11-01 18:40:56.310000+00:00,2024-11-01 18:40:56.318721+00:00,2024-11-01 18:40:56.337720+00:00,cat_2.jpg,356x500,0.4245,99.256,Persian cat,Persian cat,0.0424,Resnet-18
2024-11-01 18:40:56.737944+00:00,2024-11-01 18:40:56.745844+00:00,2024-11-01 18:40:56.765892+00:00,dog_0.jpg,375x500,0.3345,89.873,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",0.0334,Resnet-18
2024-11-01 18:40:57.076677+00:00,2024-11-01 18:40:57.084029+00:00,2024-11-01 18:40:57.105972+00:00,dog_1.jpg,375x500,0.3689,63.549,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",0.0369,Resnet-18
