Load Time,Transform Time,Predict Time,Image Name,Resolution,Inference Time,Accuracy,Argmax Class,TopK Class,Latency,Model
2024-11-01 18:38:18.242454+00:00,2024-11-01 18:38:18.248031+00:00,2024-11-01 18:38:18.263934+00:00,1.jpg,499x381,0.0438,27.209,"Cardigan, Cardigan Welsh corgi","Cardigan, Cardigan Welsh corgi",0.0055,Resnet-18
2024-11-01 18:38:18.300456+00:00,2024-11-01 18:38:18.312559+00:00,2024-11-01 18:38:18.326372+00:00,cat_0.jpg,640x481,0.0421,18.534,"tabby, tabby cat","tabby, tabby cat",0.0053,Resnet-18
2024-11-01 18:38:18.364691+00:00,2024-11-01 18:38:18.371545+00:00,2024-11-01 18:38:18.382051+00:00,cat_1.jpg,441x350,0.0335,64.715,"tabby, tabby cat","tabby, tabby cat",0.0042,Resnet-18
2024-11-01 18:38:18.421644+00:00,2024-11-01 18:38:18.430226+00:00,2024-11-01 18:38:18.443355+00:00,cat_2.jpg,356x500,0.0406,99.256,Persian cat,Persian cat,0.0051,Resnet-18
2024-11-01 18:38:18.485906+00:00,2024-11-01 18:38:18.495314+00:00,2024-11-01 18:38:18.505932+00:00,dog_0.jpg,375x500,0.0371,89.873,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",0.0046,Resnet-18
2024-11-01 18:38:18.544746+00:00,2024-11-01 18:38:18.553418+00:00,2024-11-01 18:38:18.564003+00:00,dog_1.jpg,375x500,0.0362,63.55,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",0.0045,Resnet-18
2024-11-01 18:38:18.602158+00:00,2024-11-01 18:38:18.607698+00:00,2024-11-01 18:38:18.617956+00:00,1.jpg,499x381,0.0353,27.209,"Cardigan, Cardigan Welsh corgi","Cardigan, Cardigan Welsh corgi",0.0044,Resnet-18
2024-11-01 18:38:18.656056+00:00,2024-11-01 18:38:18.668124+00:00,2024-11-01 18:38:18.680780+00:00,cat_0.jpg,640x481,0.041,18.534,"tabby, tabby cat","tabby, tabby cat",0.0051,Resnet-18
2024-11-01 18:38:18.718544+00:00,2024-11-01 18:38:18.723943+00:00,2024-11-01 18:38:18.733945+00:00,cat_1.jpg,441x350,0.0325,64.715,"tabby, tabby cat","tabby, tabby cat",0.0041,Resnet-18
2024-11-01 18:38:18.771265+00:00,2024-11-01 18:38:18.779988+00:00,2024-11-01 18:38:18.790785+00:00,cat_2.jpg,356x500,0.0358,99.256,Persian cat,Persian cat,0.0045,Resnet-18
2024-11-01 18:38:18.829223+00:00,2024-11-01 18:38:18.838117+00:00,2024-11-01 18:38:18.848584+00:00,dog_0.jpg,375x500,0.0395,89.873,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",0.0049,Resnet-18
2024-11-01 18:38:18.885931+00:00,2024-11-01 18:38:18.894079+00:00,2024-11-01 18:38:18.904581+00:00,dog_1.jpg,375x500,0.0349,63.55,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",0.0044,Resnet-18
2024-11-01 18:38:18.942857+00:00,2024-11-01 18:38:18.949504+00:00,2024-11-01 18:38:18.959725+00:00,1.jpg,499x381,0.0329,27.209,"Cardigan, Cardigan Welsh corgi","Cardigan, Cardigan Welsh corgi",0.0041,Resnet-18
2024-11-01 18:38:18.998686+00:00,2024-11-01 18:38:19.011332+00:00,2024-11-01 18:38:19.024145+00:00,cat_0.jpg,640x481,0.0425,18.534,"tabby, tabby cat","tabby, tabby cat",0.0053,Resnet-18
2024-11-01 18:38:19.063442+00:00,2024-11-01 18:38:19.068539+00:00,2024-11-01 18:38:19.078603+00:00,cat_1.jpg,441x350,0.0397,64.715,"tabby, tabby cat","tabby, tabby cat",0.005,Resnet-18
2024-11-01 18:38:19.118054+00:00,2024-11-01 18:38:19.127757+00:00,2024-11-01 18:38:19.139122+00:00,cat_2.jpg,356x500,0.0391,99.256,Persian cat,Persian cat,0.0049,Resnet-18
2024-11-01 18:38:19.179929+00:00,2024-11-01 18:38:19.188966+00:00,2024-11-01 18:38:19.199767+00:00,dog_0.jpg,375x500,0.0394,89.873,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",0.0049,Resnet-18
2024-11-01 18:38:19.237497+00:00,2024-11-01 18:38:19.245796+00:00,2024-11-01 18:38:19.267103+00:00,dog_1.jpg,375x500,0.0505,63.55,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",0.0063,Resnet-18
2024-11-01 18:38:19.304825+00:00,2024-11-01 18:38:19.310238+00:00,2024-11-01 18:38:19.326886+00:00,1.jpg,499x381,0.0383,27.209,"Cardigan, Cardigan Welsh corgi","Cardigan, Cardigan Welsh corgi",0.0048,Resnet-18
2024-11-01 18:38:19.363610+00:00,2024-11-01 18:38:19.376158+00:00,2024-11-01 18:38:19.388876+00:00,cat_0.jpg,640x481,0.0419,18.534,"tabby, tabby cat","tabby, tabby cat",0.0052,Resnet-18
2024-11-01 18:38:19.425738+00:00,2024-11-01 18:38:19.431214+00:00,2024-11-01 18:38:19.441229+00:00,cat_1.jpg,441x350,0.0317,64.715,"tabby, tabby cat","tabby, tabby cat",0.004,Resnet-18
2024-11-01 18:38:19.479406+00:00,2024-11-01 18:38:19.488273+00:00,2024-11-01 18:38:19.499125+00:00,cat_2.jpg,356x500,0.0358,99.256,Persian cat,Persian cat,0.0045,Resnet-18
2024-11-01 18:38:19.535637+00:00,2024-11-01 18:38:19.542879+00:00,2024-11-01 18:38:19.553468+00:00,dog_0.jpg,375x500,0.0339,89.873,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",0.0042,Resnet-18
2024-11-01 18:38:19.592324+00:00,2024-11-01 18:38:19.601949+00:00,2024-11-01 18:38:19.612544+00:00,dog_1.jpg,375x500,0.0364,63.55,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",0.0045,Resnet-18
2024-11-01 18:38:19.650034+00:00,2024-11-01 18:38:19.655472+00:00,2024-11-01 18:38:19.665764+00:00,1.jpg,499x381,0.0318,27.209,"Cardigan, Cardigan Welsh corgi","Cardigan, Cardigan Welsh corgi",0.004,Resnet-18
2024-11-01 18:38:19.703124+00:00,2024-11-01 18:38:19.715654+00:00,2024-11-01 18:38:19.728521+00:00,cat_0.jpg,640x481,0.0455,18.534,"tabby, tabby cat","tabby, tabby cat",0.0057,Resnet-18
2024-11-01 18:38:19.767050+00:00,2024-11-01 18:38:19.772754+00:00,2024-11-01 18:38:19.782830+00:00,cat_1.jpg,441x350,0.0322,64.715,"tabby, tabby cat","tabby, tabby cat",0.004,Resnet-18
2024-11-01 18:38:19.820591+00:00,2024-11-01 18:38:19.829605+00:00,2024-11-01 18:38:19.840397+00:00,cat_2.jpg,356x500,0.0367,99.256,Persian cat,Persian cat,0.0046,Resnet-18
2024-11-01 18:38:19.878404+00:00,2024-11-01 18:38:19.885762+00:00,2024-11-01 18:38:19.899039+00:00,dog_0.jpg,375x500,0.0372,89.873,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",0.0047,Resnet-18
2024-11-01 18:38:19.936739+00:00,2024-11-01 18:38:19.945937+00:00,2024-11-01 18:38:19.956907+00:00,dog_1.jpg,375x500,0.0406,63.55,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",0.0051,Resnet-18
2024-11-01 18:38:19.994637+00:00,2024-11-01 18:38:20.000610+00:00,2024-11-01 18:38:20.011042+00:00,1.jpg,499x381,0.0324,27.209,"Cardigan, Cardigan Welsh corgi","Cardigan, Cardigan Welsh corgi",0.0041,Resnet-18
2024-11-01 18:38:20.048164+00:00,2024-11-01 18:38:20.060285+00:00,2024-11-01 18:38:20.073007+00:00,cat_0.jpg,640x481,0.041,18.534,"tabby, tabby cat","tabby, tabby cat",0.0051,Resnet-18
2024-11-01 18:38:20.110470+00:00,2024-11-01 18:38:20.116414+00:00,2024-11-01 18:38:20.126414+00:00,cat_1.jpg,441x350,0.033,64.715,"tabby, tabby cat","tabby, tabby cat",0.0041,Resnet-18
2024-11-01 18:38:20.164375+00:00,2024-11-01 18:38:20.174044+00:00,2024-11-01 18:38:20.190250+00:00,cat_2.jpg,356x500,0.0472,99.256,Persian cat,Persian cat,0.0059,Resnet-18
2024-11-01 18:38:20.227649+00:00,2024-11-01 18:38:20.236016+00:00,2024-11-01 18:38:20.248232+00:00,dog_0.jpg,375x500,0.0423,89.873,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",0.0053,Resnet-18
2024-11-01 18:38:20.286261+00:00,2024-11-01 18:38:20.294239+00:00,2024-11-01 18:38:20.305273+00:00,dog_1.jpg,375x500,0.0359,63.55,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",0.0045,Resnet-18
2024-11-01 18:38:20.342578+00:00,2024-11-01 18:38:20.347944+00:00,2024-11-01 18:38:20.358277+00:00,1.jpg,499x381,0.0319,27.209,"Cardigan, Cardigan Welsh corgi","Cardigan, Cardigan Welsh corgi",0.004,Resnet-18
2024-11-01 18:38:20.395122+00:00,2024-11-01 18:38:20.407519+00:00,2024-11-01 18:38:20.420229+00:00,cat_0.jpg,640x481,0.0478,18.534,"tabby, tabby cat","tabby, tabby cat",0.006,Resnet-18
2024-11-01 18:38:20.457545+00:00,2024-11-01 18:38:20.462919+00:00,2024-11-01 18:38:20.475361+00:00,cat_1.jpg,441x350,0.0361,64.715,"tabby, tabby cat","tabby, tabby cat",0.0045,Resnet-18
2024-11-01 18:38:20.513631+00:00,2024-11-01 18:38:20.524421+00:00,2024-11-01 18:38:20.535345+00:00,cat_2.jpg,356x500,0.04,99.256,Persian cat,Persian cat,0.005,Resnet-18
2024-11-01 18:38:20.573138+00:00,2024-11-01 18:38:20.580998+00:00,2024-11-01 18:38:20.591627+00:00,dog_0.jpg,375x500,0.0369,89.873,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",0.0046,Resnet-18
2024-11-01 18:38:20.628223+00:00,2024-11-01 18:38:20.636142+00:00,2024-11-01 18:38:20.646956+00:00,dog_1.jpg,375x500,0.04,63.55,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",0.005,Resnet-18
2024-11-01 18:38:20.686386+00:00,2024-11-01 18:38:20.692007+00:00,2024-11-01 18:38:20.702235+00:00,1.jpg,499x381,0.0341,27.209,"Cardigan, Cardigan Welsh corgi","Cardigan, Cardigan Welsh corgi",0.0043,Resnet-18
2024-11-01 18:38:20.740244+00:00,2024-11-01 18:38:20.752340+00:00,2024-11-01 18:38:20.768604+00:00,cat_0.jpg,640x481,0.0447,18.534,"tabby, tabby cat","tabby, tabby cat",0.0056,Resnet-18
2024-11-01 18:38:20.805087+00:00,2024-11-01 18:38:20.810497+00:00,2024-11-01 18:38:20.823354+00:00,cat_1.jpg,441x350,0.0344,64.715,"tabby, tabby cat","tabby, tabby cat",0.0043,Resnet-18
2024-11-01 18:38:20.864357+00:00,2024-11-01 18:38:20.874433+00:00,2024-11-01 18:38:20.885559+00:00,cat_2.jpg,356x500,0.0402,99.256,Persian cat,Persian cat,0.005,Resnet-18
2024-11-01 18:38:20.922033+00:00,2024-11-01 18:38:20.929880+00:00,2024-11-01 18:38:20.940484+00:00,dog_0.jpg,375x500,0.0351,89.873,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",0.0044,Resnet-18
2024-11-01 18:38:20.977680+00:00,2024-11-01 18:38:20.985879+00:00,2024-11-01 18:38:20.996941+00:00,dog_1.jpg,375x500,0.036,63.55,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",0.0045,Resnet-18
2024-11-01 18:38:21.035199+00:00,2024-11-01 18:38:21.040653+00:00,2024-11-01 18:38:21.051133+00:00,1.jpg,499x381,0.0325,27.209,"Cardigan, Cardigan Welsh corgi","Cardigan, Cardigan Welsh corgi",0.0041,Resnet-18
2024-11-01 18:38:21.089072+00:00,2024-11-01 18:38:21.102126+00:00,2024-11-01 18:38:21.116037+00:00,cat_0.jpg,640x481,0.0441,18.534,"tabby, tabby cat","tabby, tabby cat",0.0055,Resnet-18
2024-11-01 18:38:21.152406+00:00,2024-11-01 18:38:21.158799+00:00,2024-11-01 18:38:21.169463+00:00,cat_1.jpg,441x350,0.0359,64.715,"tabby, tabby cat","tabby, tabby cat",0.0045,Resnet-18
2024-11-01 18:38:21.206257+00:00,2024-11-01 18:38:21.219572+00:00,2024-11-01 18:38:21.233250+00:00,cat_2.jpg,356x500,0.0493,99.256,Persian cat,Persian cat,0.0062,Resnet-18
2024-11-01 18:38:21.270487+00:00,2024-11-01 18:38:21.278854+00:00,2024-11-01 18:38:21.290042+00:00,dog_0.jpg,375x500,0.041,89.873,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",0.0051,Resnet-18
2024-11-01 18:38:21.328722+00:00,2024-11-01 18:38:21.337494+00:00,2024-11-01 18:38:21.348616+00:00,dog_1.jpg,375x500,0.0377,63.55,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",0.0047,Resnet-18
2024-11-01 18:38:21.385808+00:00,2024-11-01 18:38:21.391222+00:00,2024-11-01 18:38:21.402118+00:00,1.jpg,499x381,0.0333,27.209,"Cardigan, Cardigan Welsh corgi","Cardigan, Cardigan Welsh corgi",0.0042,Resnet-18
