time,uptime,CPU1,CPU2,CPU3,CPU4,RAM,SWAP,EMC,IRAM,GPU,APE,APE_MASTER,NVDEC,NVENC,NVJPG,SE,VIC03,Fan tegra_pwmfan0,Temp AO,Temp CPU,Temp GPU,Temp PLL,Temp thermal,Power POM_5V_CPU,Power POM_5V_GPU,Power TOT,jetson_clocks,nvp model
2024-11-01T18:40:51.526517,04:08:29,100,98,100,100,0.34675259408165077,0.016170517130391245,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,45.5,41.5,42,40,42.25,2934,0,4742,OFF,MAXN
2024-11-01T18:40:52.498294,04:08:30,99,100,100,100,0.34665011184359634,0.016170517130391245,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,45.5,42,42,40,42.25,3134,0,4943,OFF,MAXN
2024-11-01T18:40:53.492644,04:08:31,100,100,100,99,0.3465279214828392,0.016169563455165344,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,45.5,41.5,42,40,42,3089,0,4863,OFF,MAXN
2024-11-01T18:40:54.534784,04:08:32,100,100,100,100,0.3466491264374612,0.016169563455165344,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,45.5,42,41.5,39.5,42,2974,0,4548,OFF,MAXN
2024-11-01T18:40:55.515818,04:08:33,100,100,98,99,0.3465574836668933,0.016168609779939443,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,45.5,42,42.5,40.5,42,3129,0,4903,OFF,MAXN
2024-11-01T18:40:56.461010,04:08:34,99,99,100,99,0.3466875572767316,0.016168609779939443,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,45.5,42,42,40,42.25,2817,0,4669,OFF,MAXN
2024-11-01T18:40:57.532505,04:08:35,100,100,100,100,0.3466796740276505,0.016167656,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,46,42,42.5,40.5,42.5,2934,0,4629,OFF,MAXN
2024-11-01T18:40:58.506420,04:08:36,100,99,100,100,0.34661562262886647,0.016167656,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,46,42,42.5,40.5,42.75,2969,0,4903,OFF,MAXN
2024-11-01T18:40:59.514382,04:08:37,99,100,100,98,0.34664518481292067,0.016166702429487638,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,46,42,42.5,40.5,42.5,2974,0,4903,OFF,MAXN
2024-11-01T18:41:00.515147,04:08:38,99,100,100,100,0.3466441994067855,0.016165748754261737,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,46,42,43,41,42.5,3365,0,4895,OFF,MAXN
2024-11-01T18:41:01.510590,04:08:39,100,100,99,100,0.34661463722273134,0.016165748754261737,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,46.5,42.5,42.5,40.5,42.5,3129,0,4815,OFF,MAXN
2024-11-01T18:41:02.526520,04:08:40,100,100,99,100,0.3467979227638671,0.016164795079035836,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,46,42.5,42.5,40.5,42.5,3054,0,4975,OFF,MAXN
2024-11-01T18:41:03.471296,04:08:41,99,99,98,100,0.3465505858239473,0.016164795079035836,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,46,42.5,43,41,42.5,3014,0,4589,OFF,MAXN
2024-11-01T18:41:04.442211,04:08:42,100,100,100,99,0.34652003823375804,0.016163841,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,46.5,42.5,43,41,42.75,3170,0,4782,OFF,MAXN
2024-11-01T18:41:05.542252,04:08:43,100,100,100,100,0.3466717907785694,0.016163841,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,46,43,43,41,43,3054,0,4863,OFF,MAXN
2024-11-01T18:41:06.510290,04:08:44,99,100,99,100,0.3465496004178122,0.016162888,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,46.5,42.5,43,41,43,3054,0,5016,OFF,MAXN
2024-11-01T18:41:07.530058,04:08:45,100,100,99,98,0.34670135296262355,0.016162888,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,46,43,42,40,43,2934,0,4823,OFF,MAXN
2024-11-01T18:41:08.507306,04:08:46,99,99,100,100,0.34672992974054256,0.016161934,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,46,42,43,41,43,2893,0,4501,OFF,MAXN
2024-11-01T18:41:09.530350,04:08:47,100,100,100,99,0.3466077393797854,0.01616098,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,46.5,42.5,43,41,43.25,3094,0,4823,OFF,MAXN
2024-11-01T18:41:10.526634,04:08:48,99,100,100,100,0.34648554901902817,0.016160026702906324,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,46.5,43,43,41,42.75,3330,0,5016,OFF,MAXN
2024-11-01T18:41:11.537126,04:08:49,100,99,100,100,0.34657719178959606,0.016160026702906324,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,46.5,42.5,42.5,40.5,42.75,2934,0,4508,OFF,MAXN
2024-11-01T18:41:12.499086,04:08:50,100,100,99,100,0.3465446733871365,0.016159073027680423,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,46.5,42.5,43,41,42.75,3094,0,4742,OFF,MAXN
2024-11-01T18:41:13.535981,04:08:51,100,99,99,100,0.3466392723761098,0.016159073027680423,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,46.5,42.5,43.5,41.5,43,3049,0,4975,OFF,MAXN
2024-11-01T18:41:14.551827,04:08:52,99,97,100,100,0.34653876095032565,0.016158119352454522,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,46.5,43,43.5,41.5,42.75,2893,0,4629,OFF,MAXN
2024-11-01T18:41:15.534522,04:08:53,100,100,100,100,0.34650722795400124,0.016157166,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,47,42.5,43,41,43,3330,0,4903,OFF,MAXN
